event_ticker,market_ticker,threshold,horizon,target_date,actual_date,days_stale,mid_quote,spread,volume,is_missing,is_stale
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.0,3.0,21d,2026-07-22,2026-07-22,0.0,0.99,0.02,584.67,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.0,3.0,14d,2026-07-29,2026-07-28,1.0,0.99,0.02,104.0,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.0,3.0,7d,2026-08-05,2026-08-05,0.0,0.985,0.01,90.62,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.0,3.0,3d,2026-08-09,2026-08-09,0.0,0.995,0.01,30.0,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.0,3.0,1d,2026-08-11,2026-08-11,0.0,0.99,0.02,151.0,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.0,3.0,final,2026-08-12,2026-08-11,1.0,0.99,0.02,151.0,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.1,3.1,21d,2026-07-22,2026-07-22,0.0,0.975,0.01,0.0,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.1,3.1,14d,2026-07-29,2026-07-29,0.0,0.985,0.03,494.0,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.1,3.1,7d,2026-08-05,2026-08-05,0.0,0.965,0.01,549.99,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.1,3.1,3d,2026-08-09,2026-08-09,0.0,0.955,0.01,186.19,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.1,3.1,1d,2026-08-11,2026-08-11,0.0,0.985,0.01,7026.48,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.1,3.1,final,2026-08-12,2026-08-11,1.0,0.985,0.01,7026.48,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.2,3.2,21d,2026-07-22,2026-07-22,0.0,0.905,0.01,941.44,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.2,3.2,14d,2026-07-29,2026-07-29,0.0,0.88,0.06,78.62,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.2,3.2,7d,2026-08-05,2026-08-05,0.0,0.905,0.01,6264.29,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.2,3.2,3d,2026-08-09,2026-08-09,0.0,0.89,0.02,2602.34,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.2,3.2,1d,2026-08-11,2026-08-11,0.0,0.885,0.01,13483.55,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.2,3.2,final,2026-08-12,2026-08-11,1.0,0.885,0.01,13483.55,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.3,3.3,21d,2026-07-22,2026-07-22,0.0,0.68,0.06,1216.78,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.3,3.3,14d,2026-07-29,2026-07-29,0.0,0.62,0.04,4209.37,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.3,3.3,7d,2026-08-05,2026-08-05,0.0,0.625,0.01,5453.13,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.3,3.3,3d,2026-08-09,2026-08-09,0.0,0.545,0.01,3154.47,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.3,3.3,1d,2026-08-11,2026-08-11,0.0,0.5,0.02,23836.54,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.3,3.3,final,2026-08-12,2026-08-11,1.0,0.5,0.02,23836.54,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.4,3.4,21d,2026-07-22,2026-07-22,0.0,0.3,0.02,10554.53,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.4,3.4,14d,2026-07-29,2026-07-29,0.0,0.275,0.07,2936.97,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.4,3.4,7d,2026-08-05,2026-08-05,0.0,0.27,0.04,2920.35,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.4,3.4,3d,2026-08-09,2026-08-09,0.0,0.195,0.03,2677.13,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.4,3.4,1d,2026-08-11,2026-08-11,0.0,0.175,0.01,26595.95,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.4,3.4,final,2026-08-12,2026-08-11,1.0,0.175,0.01,26595.95,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.5,3.5,21d,2026-07-22,2026-07-22,0.0,0.075,0.01,4705.85,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.5,3.5,14d,2026-07-29,2026-07-29,0.0,0.085,0.01,161.1,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.5,3.5,7d,2026-08-05,2026-08-05,0.0,0.05,0.02,3159.9,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.5,3.5,3d,2026-08-09,2026-08-09,0.0,0.045,0.01,3438.0,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.5,3.5,1d,2026-08-11,2026-08-11,0.0,0.035,0.01,11003.25,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.5,3.5,final,2026-08-12,2026-08-11,1.0,0.035,0.01,11003.25,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.6,3.6,21d,2026-07-22,2026-07-22,0.0,0.02,0.04,6391.4,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.6,3.6,14d,2026-07-29,2026-07-29,0.0,0.02,0.04,2389.98,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.6,3.6,7d,2026-08-05,2026-08-05,0.0,0.015,0.01,5320.24,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.6,3.6,3d,2026-08-09,2026-08-09,0.0,0.015,0.01,3289.5,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.6,3.6,1d,2026-08-11,2026-08-11,0.0,0.015,0.01,5285.99,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.6,3.6,final,2026-08-12,2026-08-11,1.0,0.015,0.01,5285.99,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.7,3.7,21d,2026-07-22,2026-07-22,0.0,0.01,0.02,23360.21,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.7,3.7,14d,2026-07-29,2026-07-29,0.0,0.01,0.02,2.0,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.7,3.7,7d,2026-08-05,2026-08-05,0.0,0.005,0.01,0.0,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.7,3.7,3d,2026-08-09,2026-08-09,0.0,0.015,0.03,0.0,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.7,3.7,1d,2026-08-11,2026-08-11,0.0,0.015,0.01,260.0,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.7,3.7,final,2026-08-12,2026-08-11,1.0,0.015,0.01,260.0,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.8,3.8,21d,2026-07-22,2026-07-22,0.0,0.01,0.02,0.0,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.8,3.8,14d,2026-07-29,2026-07-29,0.0,0.01,0.02,15.0,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.8,3.8,7d,2026-08-05,2026-08-05,0.0,0.005,0.01,0.0,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.8,3.8,3d,2026-08-09,2026-08-09,0.0,0.015,0.03,0.0,False,False
KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.8,3.8,1d,2026-08-11,2026-08-11,0.0,0.005,0.01,49.0,False,False
