event_ticker,horizon,median,mode_low,mode_high,lower_tail_prob,upper_tail_prob,implied_mean_TAIL_ASSUMED,n_thresholds,n_monotonicity_violations
CPIYOY-22DEC,14d,6.2,6.1,6.2,0.03500000000000003,0.20299999999999993,6.470000000000001,15,2
CPIYOY-22DEC,1d,6.343636363636364,6.3,6.4,0.025000000000000022,0.005,6.353,15,0
CPIYOY-22DEC,21d,6.3545454545454545,6.3,6.4,0.06499999999999995,0.005,6.350999999999999,15,0
CPIYOY-22DEC,3d,6.358181818181818,6.3,6.4,0.015000000000000013,0.005,6.362,15,0
CPIYOY-22DEC,7d,6.3625,6.3,6.4,0.030000000000000027,0.009,6.372999999999999,15,1
CPIYOY-22DEC,final,6.343636363636364,6.3,6.4,0.025000000000000022,0.005,6.353,15,0
CPIYOY-22NOV,1d,7.148,7.2,7.3,0.040000000000000036,0.02,7.153999999999999,13,0
CPIYOY-22NOV,3d,7.148,7.2,7.3,0.04500000000000004,0.015,7.154499999999999,13,0
CPIYOY-22NOV,final,7.148,7.2,7.3,0.040000000000000036,0.02,7.153999999999999,13,0
CPIYOY-23APR,14d,4.93404255319149,4.9,5.0,0.0050000000000000044,0.03,4.8955,22,3
CPIYOY-23APR,1d,4.966666666666667,4.9,5.0,0.0050000000000000044,0.02,4.9565,22,2
CPIYOY-23APR,21d,5.037931034482758,5.1,5.2,0.33333333333333337,0.037500000000000006,4.545,22,4
CPIYOY-23APR,3d,4.9324324324324325,4.8,4.9,0.0050000000000000044,0.02,4.9335,22,1
CPIYOY-23APR,7d,4.924657534246576,4.9,5.0,0.0050000000000000044,0.02666666666666667,4.8585,22,3
CPIYOY-23APR,final,4.966666666666667,4.9,5.0,0.0050000000000000044,0.02,4.9565,22,2
CPIYOY-23AUG,14d,3.636842105263158,3.6,3.7,0.01375000000000004,0.01,3.633999995,15,2
CPIYOY-23AUG,1d,3.6308641975308644,3.6,3.7,0.01375000000000004,0.01,3.6214999933333334,15,3
CPIYOY-23AUG,21d,3.628169014084507,3.6,3.7,0.01375000000000004,0.01,3.6249999925000003,15,1
CPIYOY-23AUG,3d,3.635443037974684,3.6,3.7,0.01375000000000004,0.01,3.6259999925000006,15,2
CPIYOY-23AUG,7d,3.637662337662338,3.6,3.7,0.01375000000000004,0.01,3.6264999925000003,15,2
CPIYOY-23AUG,final,3.6308641975308644,3.6,3.7,0.01375000000000004,0.01,3.6214999933333334,15,3
CPIYOY-23DEC,14d,3.230769230769231,3.2,3.3,0.06999999999999995,0.155,3.2190000000000003,7,1
CPIYOY-23DEC,1d,3.2486111111111113,3.2,3.3,0.0050000000000000044,0.055,3.2449999999999997,7,0
CPIYOY-23DEC,21d,3.2272727272727275,3.3,3.4,0.06999999999999995,0.03,3.2030000000000003,7,1
CPIYOY-23DEC,3d,3.238235294117647,3.2,3.3,0.0050000000000000044,0.055,3.232,7,0
CPIYOY-23DEC,7d,3.2386363636363638,3.2,3.3,0.0050000000000000044,0.065,3.2340000000000004,7,0
CPIYOY-23DEC,final,3.2486111111111113,3.2,3.3,0.0050000000000000044,0.055,3.2449999999999997,7,0
CPIYOY-23FEB,14d,6.05,5.9,6.0,0.02100000000000013,0.22124999999999997,6.0775,22,4
CPIYOY-23FEB,1d,6.061224489795918,6.1,6.2,0.0050000000000000044,0.02,6.023000000000001,22,1
CPIYOY-23FEB,21d,,4.4,4.5,0.17500000000000004,0.6010714285714285,5.273999999999999,15,3
CPIYOY-23FEB,3d,6.061999999999999,6.1,6.2,0.019999999999999907,0.02,6.018500000000001,22,1
CPIYOY-23FEB,7d,6.059574468085106,5.9,6.0,0.019999999999999907,0.1,6.0634999999999994,22,2
CPIYOY-23FEB,final,6.061224489795918,6.1,6.2,0.0050000000000000044,0.02,6.023000000000001,22,1
CPIYOY-23JAN,14d,6.2,5.7,5.8,0.04249999999999998,0.4916666666666667,6.359,15,3
CPIYOY-23JAN,1d,6.327272727272727,6.2,6.3,0.010000000000000009,0.01,6.3305,15,1
CPIYOY-23JAN,21d,5.8,5.7,5.8,0.09499999999999997,0.4109999999999999,6.1434999999999995,15,2
CPIYOY-23JAN,3d,6.3,6.2,6.3,0.025000000000000022,0.01,6.2755,15,1
CPIYOY-23JAN,7d,6.2,5.7,5.8,0.0774999999999999,0.4916666666666667,6.3465,15,4
CPIYOY-23JAN,final,6.327272727272727,6.2,6.3,0.010000000000000009,0.01,6.3305,15,1
CPIYOY-23JUL,14d,3.1709302325581397,3.1,3.2,0.0050000000000000044,0.015,3.1814999983333334,29,3
CPIYOY-23JUL,1d,3.1750000000000003,3.1,3.2,0.0050000000000000044,0.01,3.1685000000000003,29,2
CPIYOY-23JUL,21d,3.126506024096386,3.1,3.2,0.0050000000000000044,0.015,3.132499998333333,29,2
CPIYOY-23JUL,3d,3.1675675675675676,3.1,3.2,0.0050000000000000044,0.015,3.1684999975,29,4
CPIYOY-23JUL,7d,3.1625,3.1,3.2,0.0050000000000000044,0.015,3.1664999983333333,29,3
CPIYOY-23JUL,final,3.1750000000000003,3.1,3.2,0.0050000000000000044,0.01,3.1685000000000003,29,2
CPIYOY-23JUN,14d,2.9651515151515153,2.9,3.0,0.025000000000000022,0.005,2.9979999999999998,21,2
CPIYOY-23JUN,1d,2.9515151515151516,2.9,3.0,0.030000000000000027,0.005,2.9755,21,3
CPIYOY-23JUN,21d,2.952072072072072,4.6,4.7,0.030000000000000027,0.005,3.491,21,2
CPIYOY-23JUN,3d,2.959322033898305,2.9,3.0,0.020000000000000018,0.005,2.991,21,2
CPIYOY-23JUN,7d,2.95,2.9,3.0,0.020000000000000018,0.005,2.9769999999999994,21,2
CPIYOY-23JUN,final,2.9515151515151516,2.9,3.0,0.030000000000000027,0.005,2.9755,21,3
CPIYOY-23MAR,14d,5.111594202898551,5.1,5.2,0.19999999999999996,0.04,4.590999999999999,32,4
CPIYOY-23MAR,1d,5.114999999999999,5.1,5.2,0.19999999999999996,0.005,4.4559999999999995,32,2
CPIYOY-23MAR,21d,5.143685300207039,3.4,3.5,0.19999999999999996,0.31615384615384623,4.8385,32,3
CPIYOY-23MAR,3d,5.125020048115477,5.1,5.2,0.19999999999999996,0.005,4.4750000000000005,32,2
CPIYOY-23MAR,7d,5.1241071428571425,5.1,5.2,0.19999999999999996,0.04,4.534000000000001,32,5
CPIYOY-23MAR,final,5.114999999999999,5.1,5.2,0.19999999999999996,0.005,4.4559999999999995,32,2
CPIYOY-23MAY,14d,3.973333333333333,3.9,4.0,0.0050000000000000044,0.005,3.978499835,15,0
CPIYOY-23MAY,1d,4.012244775510204,3.9,4.0,0.0050000000000000044,0.005,4.016999775,15,0
CPIYOY-23MAY,21d,4.00655731147541,4.0,4.099999,0.007500000000000062,0.016666666666666666,4.0124998000000005,15,2
CPIYOY-23MAY,3d,4.020833125,3.9,4.0,0.0050000000000000044,0.005,4.0259997725000005,15,0
CPIYOY-23MAY,7d,3.9640449438202245,3.9,4.0,0.0050000000000000044,0.005,3.9729998624999996,15,0
CPIYOY-23MAY,final,4.012244775510204,3.9,4.0,0.0050000000000000044,0.005,4.016999775,15,0
CPIYOY-23NOV,14d,3.071264367816092,3.0,3.1,0.05874999999999997,0.01,3.067,15,3
CPIYOY-23NOV,1d,3.0568627450980395,3.0,3.1,0.040000000000000036,0.01,3.06,15,2
CPIYOY-23NOV,21d,3.0952941176470588,3.0,3.1,0.010000000000000009,0.01,3.1055,15,1
CPIYOY-23NOV,3d,3.0557894736842104,3.0,3.1,0.043333333333333335,0.01,3.057,15,2
CPIYOY-23NOV,7d,3.0640449438202246,3.0,3.1,0.06000000000000005,0.01,3.0605,15,2
CPIYOY-23NOV,final,3.0568627450980395,3.0,3.1,0.040000000000000036,0.01,3.06,15,2
CPIYOY-23OCT,14d,3.240618101545254,3.2,3.3,0.015000000000000013,0.16374999999999998,3.3405,15,4
CPIYOY-23OCT,1d,3.183783783783784,3.1,3.2,0.015000000000000013,0.22062500000000002,3.355,15,4
CPIYOY-23OCT,21d,3.234709480122324,3.2,3.3,0.33785714285714286,0.16499999999999998,3.1485,15,3
CPIYOY-23OCT,3d,3.1810810810810812,3.1,3.2,0.015000000000000013,0.22125000000000003,3.3525,15,4
CPIYOY-23OCT,7d,3.2465454545454544,3.2,3.3,0.015000000000000013,0.224375,3.392,15,4
CPIYOY-23OCT,final,3.183783783783784,3.1,3.2,0.015000000000000013,0.22062500000000002,3.355,15,4
CPIYOY-23SEP,14d,3.6184615384615384,3.6,3.7,0.3939999999999999,0.4,3.3715,15,6
CPIYOY-23SEP,1d,3.623076923076923,3.6,3.7,0.010000000000000009,0.095,3.5210000000000004,15,3
CPIYOY-23SEP,21d,3.580263157894737,3.6,3.7,0.43900000000000006,0.385,3.3135,15,4
CPIYOY-23SEP,3d,3.6704918032786886,3.6,3.7,0.010000000000000009,0.1,3.609,15,3
CPIYOY-23SEP,7d,3.62803738317757,3.6,3.7,0.012499999999999956,0.1,3.567,15,5
CPIYOY-23SEP,final,3.623076923076923,3.6,3.7,0.010000000000000009,0.095,3.5210000000000004,15,3
CPIYOY-24APR,14d,3.42987012987013,3.4,3.5,0.010000000000000009,0.045,3.4555,11,1
CPIYOY-24APR,1d,3.377669902912621,3.3,3.4,0.015000000000000013,0.015,3.3955000000000006,11,0
CPIYOY-24APR,21d,3.4353658536585368,3.4,3.5,0.008333333333333415,0.10166666666666667,3.4519999999999995,11,2
CPIYOY-24APR,3d,3.3754716981132074,3.3,3.4,0.020000000000000018,0.15375,3.4269999999999996,11,2
CPIYOY-24APR,7d,3.369298245614035,3.3,3.4,0.016666666666666607,0.025,3.389,11,1
CPIYOY-24APR,final,3.377669902912621,3.3,3.4,0.015000000000000013,0.015,3.3955000000000006,11,0
CPIYOY-24AUG,14d,2.474666666666667,2.4,2.5,0.050000000000000044,0.0175,2.484,9,2
CPIYOY-24AUG,1d,2.473529411764706,2.5,2.6,0.04500000000000004,0.015,2.477,9,0
CPIYOY-24AUG,21d,2.46,2.4,2.5,0.06000000000000005,0.03,2.4795,9,1
CPIYOY-24AUG,3d,2.48,2.4,2.5,0.03500000000000003,0.015,2.4995000000000003,9,0
CPIYOY-24AUG,7d,2.4729411764705884,2.4,2.5,0.06000000000000005,0.015,2.4805,9,0
CPIYOY-24AUG,final,2.473529411764706,2.5,2.6,0.04500000000000004,0.015,2.477,9,0
CPIYOY-24FEB,14d,3.204761904761905,3.2,3.3,0.13416666666666677,0.02,3.108,13,1
CPIYOY-24FEB,1d,3.149216300940439,2.5,2.6,0.07499999999999996,0.08800000000000001,3.0015,13,3
CPIYOY-24FEB,21d,3.123913043478261,3.1,3.2,0.015000000000000013,0.091,3.1035,13,1
CPIYOY-24FEB,3d,3.1653846153846157,3.1,3.2,0.07499999999999996,0.09,3.1590000000000003,13,2
CPIYOY-24FEB,7d,3.213978494623656,3.2,3.3,0.12250000000000016,0.02,3.125,13,1
CPIYOY-24FEB,final,3.149216300940439,2.5,2.6,0.07499999999999996,0.08800000000000001,3.0015,13,3
CPIYOY-24JAN,14d,2.873469387755102,2.8,2.9,0.14,0.05,2.977,10,3
CPIYOY-24JAN,1d,2.892134831460674,2.8,2.9,0.08999999999999997,0.022,2.9154999999999998,10,1
CPIYOY-24JAN,21d,2.8633027522935777,2.8,2.9,0.15500000000000003,0.05,2.9999999999999996,10,3
CPIYOY-24JAN,3d,2.892134831460674,2.8,2.9,0.08999999999999997,0.022,2.9139999999999997,10,1
CPIYOY-24JAN,7d,2.8857142857142857,2.8,2.9,0.07999999999999996,0.04666666666666666,2.9314999999999993,10,1
CPIYOY-24JAN,final,2.892134831460674,2.8,2.9,0.08999999999999997,0.022,2.9154999999999998,10,1
CPIYOY-24JUL,14d,2.8534090909090906,2.8,2.9,0.03500000000000003,0.008124999999999999,2.8595,12,1
CPIYOY-24JUL,1d,2.876315789473684,2.8,2.9,0.06000000000000005,0.3522222222222222,3.1809999999999996,12,5
CPIYOY-24JUL,21d,2.844444444444444,2.8,2.9,0.03500000000000003,0.005,2.8465,12,0
CPIYOY-24JUL,3d,2.8838235294117647,2.8,2.9,0.06000000000000005,0.4450000000000001,3.2675,12,1
CPIYOY-24JUL,7d,2.8550561797752807,2.8,2.9,0.040000000000000036,0.02,2.8725,12,0
CPIYOY-24JUL,final,2.876315789473684,2.8,2.9,0.06000000000000005,0.3522222222222222,3.1809999999999996,12,5
CPIYOY-24JUN,14d,2.9,3.5,3.6,0.495,0.35000000000000003,3.23,11,3
CPIYOY-24JUN,1d,3.038,3.0,3.1,0.03500000000000003,0.005,3.0464999999999995,11,0
CPIYOY-24JUN,21d,2.9,3.2,3.3,0.495,0.015,3.0305,11,0
CPIYOY-24JUN,3d,3.038,3.0,3.1,0.030000000000000027,0.005,3.0495,11,0
CPIYOY-24JUN,7d,2.8,3.1,3.2,0.5,0.3235714285714285,3.1704999999999997,11,4
CPIYOY-24JUN,final,3.038,3.0,3.1,0.03500000000000003,0.005,3.0464999999999995,11,0
CPIYOY-24MAR,14d,3.293065693430657,3.2,3.3,0.015000000000000013,0.4683333333333333,3.373,8,1
CPIYOY-24MAR,1d,3.3284482758620686,3.3,3.4,0.015000000000000013,0.025,3.3165,8,0
CPIYOY-24MAR,21d,3.3566666666666665,3.4,3.5,0.025000000000000022,0.125,3.3350000000000004,8,1
CPIYOY-24MAR,3d,3.3267857142857142,3.3,3.4,0.015000000000000013,0.025,3.315,8,0
CPIYOY-24MAR,7d,3.275,3.2,3.3,0.015000000000000013,0.025,3.273,8,0
CPIYOY-24MAR,final,3.3284482758620686,3.3,3.4,0.015000000000000013,0.025,3.3165,8,0
CPIYOY-24MAY,14d,3.3037735849056604,3.2,3.3,0.030000000000000027,0.035,3.3289999999999997,10,1
CPIYOY-24MAY,1d,3.3097560975609754,3.3,3.4,0.015000000000000013,0.015,3.3154999999999997,10,0
CPIYOY-24MAY,21d,3.2967741935483867,3.3,3.4,0.25,0.05,3.2830000000000004,10,1
CPIYOY-24MAY,3d,3.3202898550724638,3.2,3.3,0.025000000000000022,0.035,3.3375000000000004,10,0
CPIYOY-24MAY,7d,3.3377049180327867,3.3,3.4,0.020000000000000018,0.0175,3.3415,10,2
CPIYOY-24MAY,final,3.3097560975609754,3.3,3.4,0.015000000000000013,0.015,3.3154999999999997,10,0
CPIYOY-24OCT,14d,2.5754716981132075,2.5,2.6,0.08999999999999997,0.005,2.5660000000000003,9,0
CPIYOY-24OCT,1d,2.5683168316831684,2.3,2.4,0.05500000000000005,0.05,2.567,9,2
CPIYOY-24OCT,21d,2.5611940298507463,2.3,2.4,0.08999999999999997,0.005,2.544,9,1
CPIYOY-24OCT,3d,2.5686274509803924,2.3,2.4,0.05500000000000005,0.05,2.5675000000000003,9,2
CPIYOY-24OCT,7d,2.561904761904762,2.3,2.4,0.08999999999999997,0.05,2.555,9,2
CPIYOY-24OCT,final,2.5683168316831684,2.3,2.4,0.05500000000000005,0.05,2.567,9,2
CPIYOY-24SEP,14d,2.2458823529411767,2.2,2.3,0.030000000000000027,0.025,2.2659999999999996,12,0
CPIYOY-24SEP,1d,2.2605504587155965,2.2,2.3,0.010000000000000009,0.009285714285714286,2.271,12,1
CPIYOY-24SEP,21d,2.307462686567164,2.3,2.4,0.42499999999999993,0.03,2.255,12,3
CPIYOY-24SEP,3d,2.283606557377049,2.2,2.3,0.015000000000000013,0.015,2.3314999999999997,12,0
CPIYOY-24SEP,7d,2.2541666666666664,2.2,2.3,0.020000000000000018,0.02,2.2695000000000003,12,0
CPIYOY-24SEP,final,2.2605504587155965,2.2,2.3,0.010000000000000009,0.009285714285714286,2.271,12,1
KXCPIYOY-24DEC,14d,2.8592233009708736,2.8,2.9,0.030000000000000138,0.065,2.8389999999999995,11,0
KXCPIYOY-24DEC,1d,2.8499999999999996,2.8,2.9,0.019999999999999796,0.035,2.8354999999999997,11,2
KXCPIYOY-24DEC,21d,2.8615999999999997,2.8,2.9,0.04500000000000004,0.16,2.7835,11,2
KXCPIYOY-24DEC,3d,2.8524752475247523,2.8,2.9,0.020000000000000018,0.055,2.8379999999999996,11,2
KXCPIYOY-24DEC,7d,2.8411214953271027,2.8,2.9,0.020000000000000018,0.075,2.8254999999999995,11,2
KXCPIYOY-24DEC,final,2.8499999999999996,2.8,2.9,0.019999999999999796,0.035,2.8354999999999997,11,2
KXCPIYOY-24NOV,14d,2.6647058823529415,2.6,2.7,0.015000000000000013,0.03,2.6779999999999995,10,1
KXCPIYOY-24NOV,1d,2.6708333333333334,2.6,2.7,0.0050000000000000044,0.01,2.6854999999999998,10,0
KXCPIYOY-24NOV,21d,2.665909090909091,2.6,2.7,0.015000000000000013,0.03,2.6759999999999997,10,0
KXCPIYOY-24NOV,3d,2.6636363636363636,2.6,2.7,0.0050000000000000044,0.015,2.6759999999999997,10,0
KXCPIYOY-24NOV,7d,2.6738636363636363,2.6,2.7,0.0050000000000000044,0.02,2.6889999999999996,10,0
