event_ticker,horizon,n_thresholds,brier
CPIYOY-22DEC,14d,15,0.151218
CPIYOY-22DEC,1d,15,0.08855666666666667
CPIYOY-22DEC,21d,15,0.08134333333333334
CPIYOY-22DEC,3d,15,0.08370999999999999
CPIYOY-22DEC,7d,15,0.07675533333333333
CPIYOY-22DEC,final,15,0.08855666666666667
CPIYOY-22NOV,1d,13,0.03849230769230769
CPIYOY-22NOV,3d,13,0.038551923076923074
CPIYOY-22NOV,final,13,0.03849230769230769
CPIYOY-23APR,14d,22,0.023765530303030306
CPIYOY-23APR,1d,22,0.011907386363636365
CPIYOY-23APR,21d,22,0.10599325466200472
CPIYOY-23APR,3d,22,0.016926136363636362
CPIYOY-23APR,7d,22,0.024489962121212117
CPIYOY-23APR,final,22,0.011907386363636365
CPIYOY-23AUG,14d,15,0.04720208333333333
CPIYOY-23AUG,1d,15,0.05089263888888888
CPIYOY-23AUG,21d,15,0.05099541666666667
CPIYOY-23AUG,3d,15,0.04770208333333333
CPIYOY-23AUG,7d,15,0.04613291666666666
CPIYOY-23AUG,final,15,0.05089263888888888
CPIYOY-23DEC,14d,7,0.20438392857142856
CPIYOY-23DEC,1d,7,0.2104285714285714
CPIYOY-23DEC,21d,7,0.22670535714285714
CPIYOY-23DEC,3d,7,0.23683571428571426
CPIYOY-23DEC,7d,7,0.22648571428571426
CPIYOY-23DEC,final,7,0.2104285714285714
CPIYOY-23FEB,14d,22,0.02574482954545454
CPIYOY-23FEB,1d,22,0.014967424242424244
CPIYOY-23FEB,21d,15,0.1505760714285715
CPIYOY-23FEB,3d,22,0.014993560606060607
CPIYOY-23FEB,7d,22,0.018763446969696968
CPIYOY-23FEB,final,22,0.014967424242424244
CPIYOY-23JAN,14d,15,0.13971722222222221
CPIYOY-23JAN,1d,15,0.04732388888888888
CPIYOY-23JAN,21d,15,0.21043233333333336
CPIYOY-23JAN,3d,15,0.06082166666666666
CPIYOY-23JAN,7d,15,0.14074472222222223
CPIYOY-23JAN,final,15,0.04732388888888888
CPIYOY-23JUL,14d,29,0.015461063218390804
CPIYOY-23JUL,1d,29,0.014124808429118773
CPIYOY-23JUL,21d,29,0.028465373563218387
CPIYOY-23JUL,3d,29,0.015820785440613026
CPIYOY-23JUL,7d,29,0.017253089080459773
CPIYOY-23JUL,final,29,0.014124808429118773
CPIYOY-23JUN,14d,21,0.023938435374149657
CPIYOY-23JUN,1d,21,0.027484863945578225
CPIYOY-23JUN,21d,21,0.1159334733893557
CPIYOY-23JUN,3d,21,0.025785714285714283
CPIYOY-23JUN,7d,21,0.027888244047619047
CPIYOY-23JUN,final,21,0.027484863945578225
CPIYOY-23MAR,14d,32,0.11188937174479169
CPIYOY-23MAR,1d,32,0.09729511718750003
CPIYOY-23MAR,21d,32,0.1531369379242082
CPIYOY-23MAR,3d,32,0.09726624540441176
CPIYOY-23MAR,7d,32,0.10430091911764708
CPIYOY-23MAR,final,32,0.09729511718750003
CPIYOY-23MAY,14d,15,0.02969833333333333
CPIYOY-23MAY,1d,15,0.022703333333333336
CPIYOY-23MAY,21d,15,0.023443055555555554
CPIYOY-23MAY,3d,15,0.022283333333333332
CPIYOY-23MAY,7d,15,0.033929999999999995
CPIYOY-23MAY,final,15,0.022703333333333336
CPIYOY-23NOV,14d,15,0.029787416666666667
CPIYOY-23NOV,1d,15,0.038262
CPIYOY-23NOV,21d,15,0.020015
CPIYOY-23NOV,3d,15,0.03819422222222222
CPIYOY-23NOV,7d,15,0.033500333333333326
CPIYOY-23NOV,final,15,0.038262
CPIYOY-23OCT,14d,15,0.019378055555555537
CPIYOY-23OCT,1d,15,0.04935854166666667
CPIYOY-23OCT,21d,15,0.06850880952380951
CPIYOY-23OCT,3d,15,0.050785833333333336
CPIYOY-23OCT,7d,15,0.03150854166666667
CPIYOY-23OCT,final,15,0.04935854166666667
CPIYOY-23SEP,14d,15,0.17518899999999996
CPIYOY-23SEP,1d,15,0.0905813888888889
CPIYOY-23SEP,21d,15,0.20102233333333336
CPIYOY-23SEP,3d,15,0.05074355555555557
CPIYOY-23SEP,7d,15,0.07649855555555556
CPIYOY-23SEP,final,15,0.0905813888888889
CPIYOY-24APR,14d,11,0.023602272727272725
CPIYOY-24APR,1d,11,0.03866136363636363
CPIYOY-24APR,21d,11,0.020296969696969695
CPIYOY-24APR,3d,11,0.04583465909090909
CPIYOY-24APR,7d,11,0.04575757575757577
CPIYOY-24APR,final,11,0.03866136363636363
CPIYOY-24AUG,14d,9,0.0462875
CPIYOY-24AUG,1d,9,0.04642777777777778
CPIYOY-24AUG,21d,9,0.05870648148148147
CPIYOY-24AUG,3d,9,0.04432499999999999
CPIYOY-24AUG,7d,9,0.04733611111111111
CPIYOY-24AUG,final,9,0.04642777777777778
CPIYOY-24FEB,14d,13,0.03455608974358975
CPIYOY-24FEB,1d,13,0.09732878205128204
CPIYOY-24FEB,21d,13,0.08253115384615382
CPIYOY-24FEB,3d,13,0.04254038461538461
CPIYOY-24FEB,7d,13,0.027574038461538483
CPIYOY-24FEB,final,13,0.09732878205128204
CPIYOY-24JAN,14d,10,0.19932999999999998
CPIYOY-24JAN,1d,10,0.2022395
CPIYOY-24JAN,21d,10,0.20141
CPIYOY-24JAN,3d,10,0.204902
CPIYOY-24JAN,7d,10,0.19950916666666668
CPIYOY-24JAN,final,10,0.2022395
CPIYOY-24JUL,14d,12,0.047519010416666674
CPIYOY-24JUL,1d,12,0.1260287037037037
CPIYOY-24JUL,21d,12,0.05450208333333333
CPIYOY-24JUL,3d,12,0.1783395833333334
CPIYOY-24JUL,7d,12,0.046922916666666654
CPIYOY-24JUL,final,12,0.1260287037037037
CPIYOY-24JUN,14d,11,0.19497272727272727
CPIYOY-24JUN,1d,11,0.013288636363636365
CPIYOY-24JUN,21d,11,0.10763863636363637
CPIYOY-24JUN,3d,11,0.013465909090909094
CPIYOY-24JUN,7d,11,0.15946266233766232
CPIYOY-24JUN,final,11,0.013288636363636365
CPIYOY-24MAR,14d,8,0.1070729166666667
CPIYOY-24MAR,1d,8,0.23786562500000002
CPIYOY-24MAR,21d,8,0.16144999999999998
CPIYOY-24MAR,3d,8,0.2380625
CPIYOY-24MAR,7d,8,0.2839
CPIYOY-24MAR,final,8,0.23786562500000002
CPIYOY-24MAY,14d,10,0.031904999999999996
CPIYOY-24MAY,1d,10,0.0232975
CPIYOY-24MAY,21d,10,0.06285833333333332
CPIYOY-24MAY,3d,10,0.025042500000000002
CPIYOY-24MAY,7d,10,0.026085000000000004
CPIYOY-24MAY,final,10,0.0232975
CPIYOY-24OCT,14d,9,0.061683333333333326
CPIYOY-24OCT,1d,9,0.06894305555555558
CPIYOY-24OCT,21d,9,0.07839305555555554
CPIYOY-24OCT,3d,9,0.06858055555555556
CPIYOY-24OCT,7d,9,0.07609444444444445
CPIYOY-24OCT,final,9,0.06894305555555558
CPIYOY-24SEP,14d,12,0.12516666666666668
CPIYOY-24SEP,1d,12,0.11950654761904762
CPIYOY-24SEP,21d,12,0.12346083333333334
CPIYOY-24SEP,3d,12,0.07575208333333334
CPIYOY-24SEP,7d,12,0.11634375000000001
CPIYOY-24SEP,final,12,0.11950654761904762
KXCPIYOY-24DEC,14d,11,0.05056818181818182
KXCPIYOY-24DEC,1d,11,0.05687954545454545
KXCPIYOY-24DEC,21d,11,0.06108560606060604
KXCPIYOY-24DEC,3d,11,0.05562545454545454
KXCPIYOY-24DEC,7d,11,0.06882681818181818
KXCPIYOY-24DEC,final,11,0.05687954545454545
KXCPIYOY-24NOV,14d,10,0.05306500000000001
KXCPIYOY-24NOV,1d,10,0.0477725
KXCPIYOY-24NOV,21d,10,0.051019999999999996
KXCPIYOY-24NOV,3d,10,0.05298499999999999
KXCPIYOY-24NOV,7d,10,0.04673
KXCPIYOY-24NOV,final,10,0.0477725
KXCPIYOY-25APR,14d,10,0.033324999999999994
KXCPIYOY-25APR,1d,10,0.025395000000000008
KXCPIYOY-25APR,21d,10,0.03566
KXCPIYOY-25APR,3d,10,0.023052499999999997
KXCPIYOY-25APR,7d,10,0.027827500000000005
KXCPIYOY-25APR,final,10,0.025395000000000008
KXCPIYOY-25AUG,14d,8,0.09564375000000001
KXCPIYOY-25AUG,1d,8,0.08784062499999999
KXCPIYOY-25AUG,21d,8,0.11272187500000001
KXCPIYOY-25AUG,3d,8,0.101675
KXCPIYOY-25AUG,7d,8,0.092334375
KXCPIYOY-25AUG,final,8,0.08784062499999999
KXCPIYOY-25DEC,14d,8,0.09312812499999998
KXCPIYOY-25DEC,1d,8,0.07416562500000001
KXCPIYOY-25DEC,21d,8,0.08060625
KXCPIYOY-25DEC,3d,8,0.07449062499999999
KXCPIYOY-25DEC,7d,8,0.08550625
KXCPIYOY-25DEC,final,8,0.07416562500000001
KXCPIYOY-25FEB,14d,8,0.0330203125
KXCPIYOY-25FEB,1d,8,0.018553125
KXCPIYOY-25FEB,21d,8,0.0368609375
KXCPIYOY-25FEB,3d,8,0.023103125000000006
KXCPIYOY-25FEB,7d,8,0.025615625000000006
KXCPIYOY-25FEB,final,8,0.018553125
KXCPIYOY-25JAN,14d,14,0.07387857142857143
KXCPIYOY-25JAN,1d,14,0.07492321428571427
KXCPIYOY-25JAN,21d,14,0.0889482142857143
KXCPIYOY-25JAN,3d,14,0.05372232142857143
KXCPIYOY-25JAN,7d,14,0.06889732142857144
KXCPIYOY-25JAN,final,14,0.07492321428571427
KXCPIYOY-25JUL,14d,8,0.029484375
KXCPIYOY-25JUL,1d,8,0.019937499999999997
KXCPIYOY-25JUL,21d,8,0.027331249999999998
KXCPIYOY-25JUL,3d,8,0.027768750000000005
KXCPIYOY-25JUL,7d,8,0.021231249999999997
KXCPIYOY-25JUL,final,8,0.019937499999999997
KXCPIYOY-25JUN,14d,11,0.11096249999999999
KXCPIYOY-25JUN,1d,11,0.12594318181818182
KXCPIYOY-25JUN,21d,11,0.12231022727272726
KXCPIYOY-25JUN,3d,11,0.11814772727272728
KXCPIYOY-25JUN,7d,11,0.13234602272727275
KXCPIYOY-25JUN,final,11,0.12594318181818182
KXCPIYOY-25MAR,14d,9,0.03472361111111111
KXCPIYOY-25MAR,1d,9,0.024644444444444445
KXCPIYOY-25MAR,21d,9,0.03887222222222222
KXCPIYOY-25MAR,3d,9,0.024433333333333335
KXCPIYOY-25MAR,7d,9,0.025655555555555556
KXCPIYOY-25MAR,final,9,0.024644444444444445
KXCPIYOY-25MAY,14d,11,0.029161363636363628
KXCPIYOY-25MAY,1d,11,0.04348484848484849
KXCPIYOY-25MAY,21d,11,0.022836363636363634
KXCPIYOY-25MAY,3d,11,0.038578030303030315
KXCPIYOY-25MAY,7d,11,0.031147727272727275
KXCPIYOY-25MAY,final,11,0.04348484848484849
KXCPIYOY-25NOV,14d,8,0.23092812499999998
KXCPIYOY-25NOV,1d,8,0.205415625
KXCPIYOY-25NOV,21d,8,0.24138437499999998
KXCPIYOY-25NOV,3d,8,0.21434166666666668
KXCPIYOY-25NOV,7d,8,0.191590625
KXCPIYOY-25NOV,final,8,0.205415625
KXCPIYOY-25SEP,14d,8,0.030195312499999995
KXCPIYOY-25SEP,1d,8,0.031757812499999996
KXCPIYOY-25SEP,21d,8,0.023559374999999997
KXCPIYOY-25SEP,3d,8,0.031339062499999994
KXCPIYOY-25SEP,7d,8,0.033509374999999994
KXCPIYOY-25SEP,final,8,0.031757812499999996
KXCPIYOY-26APR,14d,23,0.069925
KXCPIYOY-26APR,1d,23,0.060740896739130426
KXCPIYOY-26APR,21d,23,0.0770204347826087
KXCPIYOY-26APR,3d,23,0.060050000000000006
KXCPIYOY-26APR,7d,23,0.06318073122529644
KXCPIYOY-26APR,final,23,0.060740896739130426
KXCPIYOY-26FEB,14d,10,0.0439725
KXCPIYOY-26FEB,1d,10,0.0293325
KXCPIYOY-26FEB,21d,10,0.03844625
KXCPIYOY-26FEB,3d,10,0.0247925
KXCPIYOY-26FEB,7d,10,0.025658749999999998
KXCPIYOY-26FEB,final,10,0.0293325
KXCPIYOY-26JAN,14d,11,0.038752272727272725
KXCPIYOY-26JAN,1d,11,0.028724999999999997
KXCPIYOY-26JAN,21d,11,0.037247727272727266
KXCPIYOY-26JAN,3d,11,0.027423863636363635
KXCPIYOY-26JAN,7d,11,0.03508636363636363
KXCPIYOY-26JAN,final,11,0.028724999999999997
KXCPIYOY-26JUL,14d,21,0.033028214285714286
KXCPIYOY-26JUL,1d,21,0.04505595238095238
KXCPIYOY-26JUL,21d,21,0.02899880952380952
KXCPIYOY-26JUL,3d,21,0.041533333333333325
KXCPIYOY-26JUL,7d,21,0.03271785714285714
KXCPIYOY-26JUL,final,21,0.04505595238095238
KXCPIYOY-26JUN,14d,21,0.07167761904761905
KXCPIYOY-26JUN,1d,21,0.07040357142857143
KXCPIYOY-26JUN,21d,21,0.07367757936507936
KXCPIYOY-26JUN,3d,21,0.07358809523809524
KXCPIYOY-26JUN,7d,21,0.07252738095238095
KXCPIYOY-26JUN,final,21,0.07040357142857143
KXCPIYOY-26MAR,14d,23,0.015446739130434784
KXCPIYOY-26MAR,1d,23,0.01885978260869565
KXCPIYOY-26MAR,21d,23,0.020247010869565204
KXCPIYOY-26MAR,3d,23,0.012816032608695651
KXCPIYOY-26MAR,7d,23,0.01908369565217391
KXCPIYOY-26MAR,final,23,0.01885978260869565
KXCPIYOY-26MAY,14d,27,0.007291512345679012
KXCPIYOY-26MAY,1d,27,0.011235185185185188
KXCPIYOY-26MAY,21d,27,0.009446913580246916
KXCPIYOY-26MAY,3d,27,0.009910185185185185
KXCPIYOY-26MAY,7d,27,0.00823114909781576
KXCPIYOY-26MAY,final,27,0.011235185185185188
